channel_id,channel_title,video_id,video_title,video_publish_date,video_views,video_likes,video_dislikes,video_comments
UCWRV5AVOlKJR1Flvgt310Cw,Zoella,VZzyx4qc9qQ,"The Teenage Years | Friendships, Bodies, Hormones & Periods | Zoella","2017-06-09 17:28:38",2261795,124058,1262,213
UCWRV5AVOlKJR1Flvgt310Cw,Zoella,FYJ2skgWd0M,"April Favourites 2017 | Zoella","2017-05-16 16:05:19",1968843,74285,1550,141
UCWRV5AVOlKJR1Flvgt310Cw,Zoella,96oSOAWUueI,"Most Likely To With Mark | Zoella","2017-05-08 14:59:43",2459379,112794,937,517
UCWRV5AVOlKJR1Flvgt310Cw,Zoella,1VgLebKIqDU,"My Makeup Routine For Problem Skin Days | Zoella","2017-05-01 15:30:40",2583517,115070,1150,249
UCWRV5AVOlKJR1Flvgt310Cw,Zoella,E45U2irMjPs,"Spring Clothing Haul | Zoella","2017-04-21 20:00:22",2075493,98890,1418,136
UCWRV5AVOlKJR1Flvgt310Cw,Zoella,Iyq8xoeq1uk,"Questions I've Never Answered Pt. 2 | Zoella","2017-04-13 15:31:06",2247285,124393,1575,302
UCWRV5AVOlKJR1Flvgt310Cw,Zoella,6tbhmmkilik,"March Favourites 2017 | Zoella","2017-04-03 17:09:01",1508764,67148,800,231
UCWRV5AVOlKJR1Flvgt310Cw,Zoella,FqDaUj0maVM,"Reacting To Our 90's Childhood Toys | Zoella","2017-03-26 16:00:02",3654843,134453,1106,498
UCWRV5AVOlKJR1Flvgt310Cw,Zoella,cZlCrbq4kn0,"The Biggest Primark Haul I've Ever Done | Zoella","2017-03-21 20:11:43",4130004,149291,3288,270
UCWRV5AVOlKJR1Flvgt310Cw,Zoella,AXrfEmBGSmo,"How To: Easter Chocolate Cupcakes With Mark | Zoella","2017-03-13 18:00:02",2200906,111045,699,441
UCWRV5AVOlKJR1Flvgt310Cw,Zoella,X6sM9dLEcW4,"February Favourites 2017 | Zoella","2017-03-06 20:03:23",1686558,82513,857,638
UCWRV5AVOlKJR1Flvgt310Cw,Zoella,k5peRAbtLsc,"Boyfriend VS Brother Part 2!  | Zoella","2017-02-28 19:00:02",6359936,244189,1797,499
UCWRV5AVOlKJR1Flvgt310Cw,Zoella,o5I6YLOKazI,"Cringing At Old Embarrassing Photos | Zoella","2017-02-20 21:30:43",2986145,154816,1806,238
UCWRV5AVOlKJR1Flvgt310Cw,Zoella,7Y9hldc2ZFs,"The Questions I've Never Answered | Zoella","2017-02-15 16:00:47",3164919,159176,1654,363
UCWRV5AVOlKJR1Flvgt310Cw,Zoella,IfaaLoLWw70,"Huge PO Box Opening | Zoella","2017-02-06 21:31:23",3174076,127116,1318,180
