channel_id,channel_title,video_id,video_title,video_publish_date,video_views,video_likes,video_dislikes,video_comments
UCUK0HBIBWgM2c4vsPhkYY4w,"The Slow Mo Guys",8haPaV0YBPI,"Painting with Bullets in Slow Motion","2018-03-19 16:00:01",1103534,34590,449,1587
UCUK0HBIBWgM2c4vsPhkYY4w,"The Slow Mo Guys",aqsVgNr84nA,"More Catapult - Bonus Clip","2018-03-16 16:00:00",910756,23424,764,868
UCUK0HBIBWgM2c4vsPhkYY4w,"The Slow Mo Guys",rAlZRFZTwxM,"Ice Sculpture Explosion","2018-03-15 16:00:07",1758954,49202,834,1992
UCUK0HBIBWgM2c4vsPhkYY4w,"The Slow Mo Guys",DlR437Pltbs,"Paint Cannon Salute in 4K","2018-03-14 16:00:01",907767,29318,353,1126
UCUK0HBIBWgM2c4vsPhkYY4w,"The Slow Mo Guys",uvY0duvd4QI,"Catapult Launch","2018-03-13 16:00:04",1145581,38394,862,1733
UCUK0HBIBWgM2c4vsPhkYY4w,"The Slow Mo Guys",tmM9a6vNDYo,"Paint Blast Portrait in 4K","2018-03-12 16:00:02",1158340,39250,369,1146
UCUK0HBIBWgM2c4vsPhkYY4w,"The Slow Mo Guys",yqJPavtUKFs,"Dan has an accident","2018-03-09 17:00:09",1750089,58391,582,4027
UCUK0HBIBWgM2c4vsPhkYY4w,"The Slow Mo Guys",jy-tpTD5JuY,"Fruit Stand Smash","2018-03-08 17:00:03",1198550,33059,1979,2459
UCUK0HBIBWgM2c4vsPhkYY4w,"The Slow Mo Guys",WMs3NOW1TDs,"World's Biggest Jelly in Slow Motion","2018-03-07 17:00:02",3256412,67640,2976,5354
UCUK0HBIBWgM2c4vsPhkYY4w,"The Slow Mo Guys",tzJBm3ThjJ8,"Fruit vs Fruit","2018-03-06 17:00:04",2381393,57478,1275,2764
UCUK0HBIBWgM2c4vsPhkYY4w,"The Slow Mo Guys",Atx-0_G1KHQ,"One Second Salad in 4K","2018-03-05 17:00:01",1820514,39750,1498,1617
UCUK0HBIBWgM2c4vsPhkYY4w,"The Slow Mo Guys",W1YrcmtVTYA,"Det Cord Shockwaves in 4K","2018-03-01 17:00:05",3283714,79613,752,3098
UCUK0HBIBWgM2c4vsPhkYY4w,"The Slow Mo Guys",zTspzONOomw,"Fastest People in Slow Motion","2018-02-28 17:00:07",18223207,268207,6396,9637
UCUK0HBIBWgM2c4vsPhkYY4w,"The Slow Mo Guys",YskVs5VyqHk,"Splitting Bullets in 4K","2018-02-27 17:00:06",8596617,178062,2811,5668
UCUK0HBIBWgM2c4vsPhkYY4w,"The Slow Mo Guys",aRdJ0T-vEno,"Throwing a Needle Through Glass in Slow Motion","2018-02-26 17:00:00",19574981,231804,12970,10754
UCUK0HBIBWgM2c4vsPhkYY4w,"The Slow Mo Guys",pW-mfHHWNkc,"Slicing Rubber Band Ball - Bonus Clip","2018-02-23 17:00:05",2582739,48328,1772,1610
UCUK0HBIBWgM2c4vsPhkYY4w,"The Slow Mo Guys",dqR5oApXQYU,"Paint Pendulum in Slow Motion in 4K","2018-02-22 17:00:04",8178357,118733,6187,5627
