channel_id,channel_title,video_id,video_title,video_publish_date,video_views,video_likes,video_dislikes,video_comments
UC4lSbQrg-x4AoTC3_JS3HMg,HelloItsAmie,Qdh-iUIkYos,"COUPLES SLIME BATH CHALLENGE! | HelloItsAmie","2017-06-30 12:00:04",494492,13194,566,483
UC4lSbQrg-x4AoTC3_JS3HMg,HelloItsAmie,ZhT6j2WeSs0,"BREAK UP PRANK! *MUST WATCH* | HelloItsAmie","2017-06-28 17:00:03",942966,35268,660,1144
UC4lSbQrg-x4AoTC3_JS3HMg,HelloItsAmie,TK1Ss9Ria0Q,"OUR FIRST KISS!? | HelloItsAmie","2017-06-25 20:46:29",617971,11547,415,810
UC4lSbQrg-x4AoTC3_JS3HMg,HelloItsAmie,CTwyKUg8VjM,"1000 WATER BALLOONS VS TRAMPOLINE! | HelloItsAmie","2017-06-06 19:00:50",490927,13517,475,462
UC4lSbQrg-x4AoTC3_JS3HMg,HelloItsAmie,5xCSvroSqz8,"THE MOUTH TO MOUTH CHALLENGE! | HelloItsAmie","2017-05-31 12:00:25",3250078,28267,2485,1855
UC4lSbQrg-x4AoTC3_JS3HMg,HelloItsAmie,ZzM0BeTTBRU,"TYPES OF BOYFRIENDS! | Ad","2017-05-11 18:49:48",1862662,32062,1319,1937
UC4lSbQrg-x4AoTC3_JS3HMg,HelloItsAmie,8ftkngFCnAQ,"WOMEN LOGIC! | HelloItsAmie","2017-05-07 13:35:28",207431,11019,434,536
UC4lSbQrg-x4AoTC3_JS3HMg,HelloItsAmie,J_HprPrzHgM,"THE WHISPER CHALLENGE WITH BOYFRIEND | Ad","2017-05-04 19:00:05",1237537,13853,771,1161
UC4lSbQrg-x4AoTC3_JS3HMg,HelloItsAmie,gw-wQX_zzkg,"I DONT WANT TO KISS YOU PRANK *GONE WRONG!* | HelloItsAmie","2017-05-01 18:18:31",2701145,57861,1741,2176
UC4lSbQrg-x4AoTC3_JS3HMg,HelloItsAmie,spPS3hUayS4,"THE CANDY KISSING CHALLENGE! | HelloItsAmie","2017-04-15 13:31:34",16101787,186078,17860,9301
UC4lSbQrg-x4AoTC3_JS3HMg,HelloItsAmie,c-bwv7aYFoM,"OUR RELATIONSHIP *IMPORTANT ANNOUNCEMENT* | HelloItsAmie","2017-04-06 14:00:03",505910,12248,623,656
UC4lSbQrg-x4AoTC3_JS3HMg,HelloItsAmie,FNPQWayhmyU,"HICKEY PRANK ON BOYFRIEND *GONE WRONG* | HelloItsAmie","2017-03-26 12:07:42",5494853,80927,3376,5065
UC4lSbQrg-x4AoTC3_JS3HMg,HelloItsAmie,EvI1bx0jCbs,"Girlfriend Vs Boyfriend - Outfit Challenge! | HelloItsAmie","2017-03-19 20:44:02",663573,12797,462,1508
UC4lSbQrg-x4AoTC3_JS3HMg,HelloItsAmie,ePLyL_q83KY,"NEVER HAVE I EVER WITH BOYFRIEND! | HelloItsAmie","2017-03-12 14:13:02",1060136,22266,921,1052
UC4lSbQrg-x4AoTC3_JS3HMg,HelloItsAmie,5LaampCZpog,"Who Sent Us This?!😱 | HelloItsAmie","2017-02-25 22:43:59",159233,5866,167,581
UC4lSbQrg-x4AoTC3_JS3HMg,HelloItsAmie,_P7G4ppy2xQ,"CHEATING PRANK ON GIRLFRIEND  *GONE WRONG*","2017-02-19 13:04:01",7323721,129555,7086,9561
UC4lSbQrg-x4AoTC3_JS3HMg,HelloItsAmie,RdDIw7uj8Cg,"How to get your Crush to like you! | HelloItsAmie","2017-02-17 13:50:10",451454,14274,349,593
UC4lSbQrg-x4AoTC3_JS3HMg,HelloItsAmie,2GwL6l2Xcis,"Things Not to do on a First Date!","2017-02-15 02:04:37",363089,17578,343,387
UC4lSbQrg-x4AoTC3_JS3HMg,HelloItsAmie,y9ep4Kt0_GU,"Everyday Make Up Routine!","2017-02-11 19:10:09",191654,8496,270,664
UC4lSbQrg-x4AoTC3_JS3HMg,HelloItsAmie,ZvHeBX1mKpg,"10 Beauty Hacks Every Girl Should Know! | HelloItsAmie","2017-02-04 15:49:51",119905,7185,196,331
